Date,last price
1/14/2008, 4.95 
1/15/2008, 4.88 
1/16/2008, 4.93 
1/17/2008, 4.93 
1/18/2008, 4.88 
1/21/2008, 4.98 
1/22/2008, 5.00 
1/23/2008, 4.93 
1/24/2008, 4.93 
1/25/2008, 5.00 
1/28/2008, 5.10 
1/29/2008, 5.10 
1/30/2008, 5.35 
1/31/2008, 5.40 
2/1/2008, 5.55 
2/4/2008, 5.65 
2/5/2008, 5.50 
2/6/2008, 5.35 
2/7/2008, 5.40 
2/8/2008, 5.50 
2/11/2008, 5.45 
2/12/2008, 5.50 
2/13/2008, 5.40 
2/14/2008, 5.40 
2/15/2008, 5.40 
2/18/2008, 5.45 
2/19/2008, 5.50 
2/20/2008, 5.50 
2/22/2008, 5.40 
2/25/2008, 5.35 
2/26/2008, 5.35 
2/27/2008, 5.30 
2/28/2008, 5.40 
2/29/2008, 5.50 
3/3/2008, 5.50 
3/4/2008, 5.55 
3/5/2008, 5.60 
3/6/2008, 5.60 
3/7/2008, 5.50 
3/10/2008, 5.40 
3/11/2008, 5.50 
3/12/2008, 5.45 
3/13/2008, 5.35 
3/14/2008, 5.40 
3/17/2008, 5.40 
3/18/2008, 5.40 
3/19/2008, 5.45 
3/20/2008, 5.45 
3/21/2008, 5.40 
3/24/2008, 5.40 
3/25/2008, 5.40 
3/26/2008, 5.35 
3/27/2008, 5.30 
3/28/2008, 5.25 
3/31/2008, 5.20 
4/1/2008, 5.35 
4/2/2008, 5.30 
4/3/2008, 5.30 
4/4/2008, 5.10 
4/8/2008, 5.10 
4/9/2008, 5.05 
4/10/2008, 5.05 
4/11/2008, 5.20 
4/16/2008, 5.25 
4/17/2008, 5.25 
4/18/2008, 5.20 
4/21/2008, 5.15 
4/22/2008, 5.20 
4/23/2008, 5.20 
4/24/2008, 5.25 
4/25/2008, 5.05 
4/28/2008, 5.10 
4/29/2008, 5.10 
4/30/2008, 5.10 
5/2/2008, 5.25 
5/6/2008, 5.20 
5/7/2008, 5.20 
5/8/2008, 5.20 
5/9/2008, 5.25 
5/12/2008, 5.20 
5/13/2008, 5.20 
5/14/2008, 5.25 
5/15/2008, 5.75 
5/16/2008, 5.70 
5/20/2008, 5.55 
5/21/2008, 5.70 
